0,0.0
1,207.91169081775934
2,406.7366430758002
3,587.7852522924732
4,743.1448254773942
5,866.0254037844386
6,951.0565162951535
7,994.5218953682732
8,994.5218953682732
9,951.0565162951536
10,866.0254037844387
11,743.1448254773942
12,587.7852522924733
13,406.73664307580043
14,207.9116908177593
15,1.2246467991473532e-13
16,-207.9116908177595
17,-406.7366430758002
18,-587.785252292473
19,-743.1448254773943
20,-866.0254037844384
21,-951.0565162951535
22,-994.5218953682734
23,-994.5218953682734
24,-951.0565162951536
25,-866.0254037844386
26,-743.1448254773945
27,-587.7852522924734
28,-406.73664307580015
29,-207.91169081775988
